"","date","hits","keyword","geo"
"556",2020-01-19,45,"Elkay","US-FL"
"557",2020-01-26,26,"Elkay","US-FL"
"558",2020-02-02,26,"Elkay","US-FL"
"559",2020-02-09,35,"Elkay","US-FL"
"560",2020-02-16,25,"Elkay","US-FL"
"561",2020-02-23,25,"Elkay","US-FL"
"562",2020-03-01,8,"Elkay","US-FL"
"563",2020-03-08,8,"Elkay","US-FL"
"564",2020-03-15,51,"Elkay","US-FL"
"565",2020-03-22,25,"Elkay","US-FL"
"566",2020-03-29,16,"Elkay","US-FL"
"567",2020-04-05,32,"Elkay","US-FL"
"568",2020-04-19,31,"Elkay","US-FL"
"569",2020-04-26,24,"Elkay","US-FL"
"570",2020-05-03,32,"Elkay","US-FL"
"571",2020-05-10,32,"Elkay","US-FL"
"572",2020-05-17,41,"Elkay","US-FL"
"573",2020-05-24,17,"Elkay","US-FL"
"574",2020-05-31,32,"Elkay","US-FL"
"575",2020-06-07,33,"Elkay","US-FL"
"576",2020-06-14,17,"Elkay","US-FL"
